"DateTime";"Primary sales USD";"Secondary sales USD"
"2022-02-15 00:00:00";18077,03;662405,82
"2022-02-16 00:00:00";23780,78;441876,51
"2022-02-17 00:00:00";12734,21;437948,26
"2022-02-18 00:00:00";3773,8;631372,38
"2022-02-19 00:00:00";4031,7;318459,83
"2022-02-20 00:00:00";30392,53;192275,87
"2022-02-21 00:00:00";4058,36;290546,13
"2022-02-22 00:00:00";366966,18;621120,44
"2022-02-23 00:00:00";30129,45;619998,13
"2022-02-24 00:00:00";47789,53;330544,59
"2022-02-25 00:00:00";38670,14;224905,28
"2022-02-26 00:00:00";6605,74;347437,23
"2022-02-27 00:00:00";10785,19;441262,73
"2022-02-28 00:00:00";5843,64;328526,71
"2022-03-01 00:00:00";201831,53;1149860,52
"2022-03-02 00:00:00";25685,72;276489,86
"2022-03-03 00:00:00";66381,74;385263,54
"2022-03-04 00:00:00";67093,44;1009864,9
"2022-03-05 00:00:00";16414,14;353623,19
"2022-03-06 00:00:00";26640,46;335789,03
"2022-03-07 00:00:00";6352,19;691137,47
"2022-03-08 00:00:00";11787,19;910121,03
"2022-03-09 00:00:00";10109,84;333198,58
"2022-03-10 00:00:00";12650,77;396429,93
"2022-03-11 00:00:00";74297,99;410397,18
"2022-03-12 00:00:00";43585,85;264803,49
"2022-03-13 00:00:00";7325,39;652574,58
"2022-03-14 00:00:00";18190,84;614779,66
"2022-03-15 00:00:00";71448,72;1106447,88
"2022-03-16 00:00:00";4284,62;379552,36
"2022-03-17 00:00:00";31367,75;900146,82
"2022-03-18 00:00:00";110304,28;915098,85
"2022-03-19 00:00:00";77117,77;393105,24
"2022-03-20 00:00:00";24967,43;131863,56
"2022-03-21 00:00:00";2392815,32;2455166,35
"2022-03-22 00:00:00";267472,79;1380165,16
"2022-03-23 00:00:00";16557,94;1718595,54
"2022-03-24 00:00:00";31172,01;2207622,45
"2022-03-25 00:00:00";169658,67;1827481,34
"2022-03-26 00:00:00";6041,78;433637,57
"2022-03-27 00:00:00";15004,85;366983,82
"2022-03-28 00:00:00";10283,92;517609,18
"2022-03-29 00:00:00";1048414,53;859222,28
"2022-03-30 00:00:00";33621,9;368975,87
"2022-03-31 00:00:00";3824,87;462402,42
"2022-04-01 00:00:00";9886,84;1137482,16
"2022-04-02 00:00:00";4485,05;846155,59
"2022-04-03 00:00:00";7595,96;288389,03
"2022-04-04 00:00:00";10582,53;240719,95
"2022-04-05 00:00:00";319816,22;981507,35
"2022-04-06 00:00:00";228959,29;410776,59
"2022-04-07 00:00:00";101739,38;241320,65
"2022-04-08 00:00:00";112419,18;299840,1
"2022-04-09 00:00:00";21308,47;564629,99
"2022-04-10 00:00:00";24073,32;260772,86
"2022-04-11 00:00:00";7376,01;490690,76
"2022-04-12 00:00:00";83672,59;204875,62
"2022-04-13 00:00:00";196354,78;491304,16
"2022-04-14 00:00:00";84790,95;383325,17
"2022-04-15 00:00:00";138879,1;580253,51
"2022-04-16 00:00:00";16822,15;295258,58
"2022-04-17 00:00:00";32567,15;613379,52
"2022-04-18 00:00:00";261085,4;410999,26
"2022-04-19 00:00:00";84840,75;320402,77
"2022-04-20 00:00:00";5004,83;384186,29
"2022-04-21 00:00:00";11381,38;383532,85
"2022-04-22 00:00:00";228863,23;335666,76
"2022-04-23 00:00:00";40265,08;484359,89
"2022-04-24 00:00:00";7264,52;383852,42
"2022-04-25 00:00:00";34648,66;575582,73
"2022-04-26 00:00:00";7126,4;679414,2
"2022-04-27 00:00:00";18549,53;484545,83
"2022-04-28 00:00:00";6260,6;411537,21
"2022-04-29 00:00:00";2020969,45;2034022,53
"2022-04-30 00:00:00";4879,42;945415,21
"2022-05-01 00:00:00";3410,62;1640858,29
"2022-05-02 00:00:00";11690,42;1475304,55
"2022-05-03 00:00:00";24591,02;1125736,51
"2022-05-04 00:00:00";23505,8;488336,41
"2022-05-05 00:00:00";82473,01;2326744,82
"2022-05-06 00:00:00";18738,5;4372658,46
"2022-05-07 00:00:00";132026,11;8788481,95
"2022-05-08 00:00:00";90824,88;822956,92
"2022-05-09 00:00:00";16109,72;859094,61
"2022-05-10 00:00:00";213109,92;1003991,84
"2022-05-11 00:00:00";32150;860993,58
"2022-05-12 00:00:00";19869,59;1058581,08
"2022-05-13 00:00:00";30682,26;477770,49
"2022-05-14 00:00:00";9548,14;685054,97
"2022-05-15 00:00:00";20538,12;361809,01
"2022-05-16 00:00:00";53731,47;706540,35
"2022-05-17 00:00:00";11968,59;598482,96
"2022-05-18 00:00:00";39053,6;414621,43
"2022-05-19 00:00:00";87201,31;458209,11
"2022-05-20 00:00:00";93356,08;292078,79
"2022-05-21 00:00:00";21506,06;250562,48
"2022-05-22 00:00:00";16153,02;376326,81
"2022-05-23 00:00:00";190648,57;476188,6
"2022-05-24 00:00:00";6759,83;284223,12
"2022-05-25 00:00:00";530496,88;1149588,25
"2022-05-26 00:00:00";24005,56;331633,2
"2022-05-27 00:00:00";14617,61;455372,61
"2022-05-28 00:00:00";49106,36;157275,19
"2022-05-29 00:00:00";9559,18;125666,29
"2022-05-30 00:00:00";4319,19;285118,12
"2022-05-31 00:00:00";5869,87;167980,24
"2022-06-01 00:00:00";39548,75;184547,73
"2022-06-02 00:00:00";32040,36;164208,1
"2022-06-03 00:00:00";179635,96;150918,55
"2022-06-04 00:00:00";4104,67;155610,83
"2022-06-05 00:00:00";4797,49;77412,4
"2022-06-06 00:00:00";46959,07;283598,57
"2022-06-07 00:00:00";13456,1;244909,8
"2022-06-08 00:00:00";254869,36;526196,51
"2022-06-09 00:00:00";1983,86;142885,2
"2022-06-10 00:00:00";29445,61;974619,16
"2022-06-11 00:00:00";2615,43;301690,97
"2022-06-12 00:00:00";2073,85;229891,85
"2022-06-13 00:00:00";86267,4;1601675,23
"2022-06-14 00:00:00";2217,51;492005,97
"2022-06-15 00:00:00";4384,08;472320,09
"2022-06-16 00:00:00";4660,32;196827,88
"2022-06-17 00:00:00";25868,56;329649,02
"2022-06-18 00:00:00";30439,65;492569
"2022-06-19 00:00:00";14049,99;602056,89
"2022-06-20 00:00:00";83420,56;1261057,61
"2022-06-21 00:00:00";44979,33;939475,07
